










































































































新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
中国肺炎疫情实时动态,警惕!河北本轮疫情呈现3大特点|石家庄核酸检测“火眼”连夜建成|...,http://www.thepaper.cn/newsDetail_forward_10728737,澎湃新闻,2021-1-9,15
中国肺炎疫情实时动态,宜君县新冠肺炎疫情防控专题会召开,http://news.cnwest.com/tongchuan/a/2021/01/08/19421339.html,西部网（陕西新闻网）,2021-1-8,15
中国肺炎疫情实时动态,【美国最新疫情动态:美国累计确诊病例突破2211万例、死亡人数超37...,https://www.fx168.com/fx168_t/2101/4555544.shtml,FX168财经网,2021-1-8,30
中国肺炎疫情实时动态,"河北省新增51例,其中2人曾在山西活动!",https://new.qq.com/omn/20210107/20210107a096mp00.html,腾讯网,2021-1-7,25
中国肺炎疫情实时动态,升级实时疫情简报 新病例风险随手查,http://new.qq.com/omn/ENT20190/20210107A05HLA00.html,腾讯网,2021-1-7,5
中国肺炎疫情实时动态,"疫情交通管控,多家快递公司和网店暂停向河北石家庄等地发货",https://sports.huanqiu.com/article/41PrbpmsWDP,环球网,2021-1-7,5
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
中国肺炎疫情实时动态,"王东峰在河北省应对新冠肺炎疫情工作领导小组扩大会议上强调,科学...",https://baijiahao.baidu.com/s?id=1688183905812745076&amp;wfr=spider&amp;for=pc,环球网,2021-1-7,30
中国肺炎疫情实时动态,【全球疫情最新动态:全球累计确诊病例突破8684万例】Worldometers...,https://www.fx168.com/fx168_t/2101/4550753.shtml,FX168财经网,2021-1-6,10
中国肺炎疫情实时动态,抗疫的执着与坚守——全国市场监管系统抗击新冠肺炎疫情先进个人...,https://baijiahao.baidu.com/s?id=1688116534490269671&amp;wfr=spider&amp;for=pc,湘湘带你看社会,2021-1-6,25
中国肺炎疫情实时动态,中國疫情動態!山東發現首例新冠變異毒株感染確診患者 與英國變異...,https://news.fx168.com/politics/cn/2101/4549161.shtml,FX168财经网,2021-1-5,20
中国肺炎疫情实时动态,CAIVD:2020年度中国体外诊断大事记,https://baijiahao.baidu.com/s?id=1687936510210975293&amp;wfr=spider&amp;for=pc,CACLP,2021-1-4,15
中国肺炎疫情实时动态,实时更新:新冠肺炎疫情最新动态,https://news.qq.com/hdh5/feiyanarea.htm?qimei=860299043556478&amp;devid=230533bc05dc4269&amp;uid=100219574792#/area/?pool=&amp;channelId=news_news_gdsg,腾讯网,2021-1-4,15
中国肺炎疫情实时动态,关于国内新冠肺炎中高风险疫情地区的最新情况通报,https://baijiahao.baidu.com/s?id=1687842460574950695&amp;wfr=spider&amp;for=pc,湘湘带你看社会,2021-1-3,15
中国肺炎疫情实时动态,截至1月2日24时新型冠状病毒肺炎疫情最新情况,http://www.gov.cn/xinwen/2021-01/03/content_5576312.htm,中国政府网,2021-1-3,15
中国肺炎疫情实时动态,中国红十字会抗击新冠肺炎疫情先进集体和先进个人揭晓 我市一人榜...,https://baijiahao.baidu.com/s?id=1687773338760739454&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-2,40
中国肺炎疫情实时动态,"新年第一天,美国确诊病例超2000万。张文宏判断疫情拐点:2021年六...",https://baijiahao.baidu.com/s?id=1687744964789180697&amp;wfr=spider&amp;for=pc,深圳共青团,2021-1-2,30
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
中国肺炎疫情实时动态,截至2021年1月1日24时新型冠状病毒肺炎疫情最新情况,http://www.gov.cn/xinwen/2021-01/02/content_5576198.htm,中国政府网,2021-1-2,10
中国肺炎疫情实时动态,中疾控“两节”提醒:5种健康风险需特别防范!,https://baijiahao.baidu.com/s?id=1687664268609944556&amp;wfr=spider&amp;for=pc,西安发布,2021-1-1,10
中国肺炎疫情实时动态,【中国最新疫情播报:中国新冠肺炎确诊病例达8.7万例、死亡人数...,https://www.fx168.com/fx168_t/2101/4539467.shtml,FX168财经网,2021-1-1,50
中国肺炎疫情实时动态,【加拿大最新疫情动态】据实时信息数据更新网站Worldometers的...,https://www.fx168.com/fx168_t/2012/4537096.shtml,FX168财经网,2020-12-31,40
中国肺炎疫情实时动态,深圳“十四五”规划建议全文,https://baijiahao.baidu.com/s?id=1687552073002373911&amp;wfr=spider&amp;for=pc,金台资讯,2020-12-31,25
中国肺炎疫情实时动态,河南省发展改革委全力保供应稳价格促复工战疫情,https://baijiahao.baidu.com/s?id=1687528477411646887&amp;wfr=spider&amp;for=pc,中国发展网,2020-12-31,20
中国肺炎疫情实时动态,福建省发展改革委积极做好疫情防控信息化保障工作,https://baijiahao.baidu.com/s?id=1687528469287227138&amp;wfr=spider&amp;for=pc,中国发展网,2020-12-31,25
中国肺炎疫情实时动态,威海社保实现“四个全省领先、一个全国领先”,https://baijiahao.baidu.com/s?id=1687512312158313214&amp;wfr=spider&amp;for=pc,威海新闻网,2020-12-30,20
中国肺炎疫情实时动态,昆明市下发进一步加强今冬明春疫情防控工作通知,https://baijiahao.baidu.com/s?id=1687502080057262533&amp;wfr=spider&amp;for=pc,掌上春城,2020-12-30,40
中国肺炎疫情实时动态,云南三部门发文!展览活动要提前20天申请备案,https://baijiahao.baidu.com/s?id=1687471507649375626&amp;wfr=spider&amp;for=pc,西盟那些事,2020-12-30,35
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
中国肺炎疫情实时动态,全球新型肺炎疫情实时动态 今日全球新型肺炎疫情实时通报,https://new.qq.com/omn/20201230/20201230A02AE800.html,腾讯网,2020-12-30,15
中国肺炎疫情实时动态,冬季国内会不会大规模暴发新冠肺炎疫情?来看钟南山院士怎么说,https://baijiahao.baidu.com/s?id=1687425052109601159&amp;wfr=spider&amp;for=pc,大国纪实,2020-12-29,15
中国肺炎疫情实时动态,元旦春节能离京吗?会不会被隔离?最新进出京要求都在这,http://news.china.com.cn/2020-12/29/content_77060378.htm,中国网,2020-12-29,30
中国肺炎疫情实时动态,元旦春节能离京吗? 最新要求汇总,http://henan.china.com.cn/travel/2020-12/29/content_41410285.htm,中国网,2020-12-29,25
中国肺炎疫情实时动态,事关元旦和春节假期!这些风险已公布……,https://baijiahao.baidu.com/s?id=1687301243668031351&amp;wfr=spider&amp;for=pc,阜阳发布,2020-12-28,0
中国肺炎疫情实时动态,"山东省发布做好2021年元旦春节期间有关工作的通知,涉及疫情防控...",https://baijiahao.baidu.com/s?id=1687301027974337588&amp;wfr=spider&amp;for=pc,潍坊电视台,2020-12-28,0
中国肺炎疫情实时动态,「全球疫情追踪」已有十多个国家发现变异新冠病毒感染者*专家称暂...,https://baijiahao.baidu.com/s?id=1687291320618027308&amp;wfr=spider&amp;for=pc,金融界,2020-12-28,0
中国肺炎疫情实时动态,"突发!深圳新增1例,近期2次到北京出差!北京进入应急状态……",https://baijiahao.baidu.com/s?id=1687246980045234573&amp;wfr=spider&amp;for=pc,新浪财经,2020-12-27,0
中国肺炎疫情实时动态,2020年12月27日股市盘中盘后重要消息,https://baijiahao.baidu.com/s?id=1687225073771416723&amp;wfr=spider&amp;for=pc,环球财经头条,2020-12-27,35
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
石家庄肺炎疫情实时动态,多点发力!中医药全面介入新冠肺炎疫情防控,https://new.qq.com/omn/20210110/20210110A066K700.html,腾讯网,2021-01-10,15
石家庄肺炎疫情实时动态,「河北省第三场新冠肺炎疫情防控工作新闻发布会」石家庄、邢台第...,https://baijiahao.baidu.com/s?id=1688484663123454939&amp;wfr=spider&amp;for=pc,河青新闻网,2021-01-10,15
石家庄肺炎疫情实时动态,"河北新增40例本土确诊病例,均在石家庄",http://www.thepaper.cn/newsDetail_forward_10731834,澎湃新闻,2021-01-10,30
石家庄肺炎疫情实时动态,"25天后,中国再现高风险地区,警钟敲响!钟南山的提醒很重要",https://xw.qq.com/cmsid/20210110A05OIR00?ADTAG=baidutw,腾讯网,2021-01-10,30
石家庄肺炎疫情实时动态,"别信,关于疫情,这些都是谣言!",http://news.ynet.com/2021/01/10/3091743t70.html,北青网,2021-01-10,10
石家庄肺炎疫情实时动态,"紧急出征,驰援石家庄!90后姑娘好样的!",http://new.qq.com/omn/ENT20190/20210110A04YKC00.html,腾讯网,2021-01-10,5
石家庄肺炎疫情实时动态,关注| 2021年1月9日河北省新型冠状病毒肺炎疫情情况,http://www.thepaper.cn/newsDetail_forward_10731144,澎湃新闻,2021-01-10,0
石家庄肺炎疫情实时动态,全国新增48例本土确诊!石家庄回应疫情与宗教活动关系,https://new.qq.com/omn/20210110/20210110A0298800.html,腾讯网,2021-01-10,0
石家庄肺炎疫情实时动态,河北新增46例|石家庄紧急寻人|咸阳、蓝田发布最新通知,https://new.qq.com/omn/20210110/20210110A01Z7300.html,腾讯网,2021-01-10,35
石家庄肺炎疫情实时动态,湖南派出23人流行病学调查队支援石家庄,http://new.qq.com/omn/ENT20190/20210110A01WAO00.html,腾讯网,2021-01-10,30
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
石家庄肺炎疫情实时动态,多点发力!中医药全面介入新冠肺炎疫情防控,https://new.qq.com/omn/20210110/20210110A066K700.html,腾讯网,2021-01-10,15
石家庄肺炎疫情实时动态,「河北省第三场新冠肺炎疫情防控工作新闻发布会」石家庄、邢台第...,https://baijiahao.baidu.com/s?id=1688484663123454939&amp;wfr=spider&amp;for=pc,河青新闻网,2021-01-10,15
石家庄肺炎疫情实时动态,"河北新增40例本土确诊病例,均在石家庄",http://www.thepaper.cn/newsDetail_forward_10731834,澎湃新闻,2021-01-10,30
石家庄肺炎疫情实时动态,"25天后,中国再现高风险地区,警钟敲响!钟南山的提醒很重要",https://xw.qq.com/cmsid/20210110A05OIR00?ADTAG=baidutw,腾讯网,2021-01-10,30
石家庄肺炎疫情实时动态,"别信,关于疫情,这些都是谣言!",http://news.ynet.com/2021/01/10/3091743t70.html,北青网,2021-01-10,10
石家庄肺炎疫情实时动态,"紧急出征,驰援石家庄!90后姑娘好样的!",http://new.qq.com/omn/ENT20190/20210110A04YKC00.html,腾讯网,2021-01-10,5
石家庄肺炎疫情实时动态,关注| 2021年1月9日河北省新型冠状病毒肺炎疫情情况,http://www.thepaper.cn/newsDetail_forward_10731144,澎湃新闻,2021-01-10,0
石家庄肺炎疫情实时动态,全国新增48例本土确诊!石家庄回应疫情与宗教活动关系,https://new.qq.com/omn/20210110/20210110A0298800.html,腾讯网,2021-01-10,0
石家庄肺炎疫情实时动态,河北新增46例|石家庄紧急寻人|咸阳、蓝田发布最新通知,https://new.qq.com/omn/20210110/20210110A01Z7300.html,腾讯网,2021-01-10,35
石家庄肺炎疫情实时动态,湖南派出23人流行病学调查队支援石家庄,http://new.qq.com/omn/ENT20190/20210110A01WAO00.html,腾讯网,2021-01-10,30
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
石家庄肺炎疫情实时动态,我省召开新冠肺炎疫情防控工作第二场新闻发布会,http://sjzrb.sjzdaily.com.cn/sjzrbpaper/pc/content/202101/10/content_29144.html,石家庄日报,2021-01-10,30
石家庄肺炎疫情实时动态,我市举行第五场新冠肺炎疫情防控新闻发布会,http://sjzrb.sjzdaily.com.cn/sjzrbpaper/pc/content/202101/10/content_29145.html,石家庄日报,2021-01-10,15
石家庄肺炎疫情实时动态,石家庄市举行第五场新冠肺炎疫情防控发布会,https://baijiahao.baidu.com/s?id=1688460881509475722&amp;wfr=spider&amp;for=pc,石家庄日报客户端,2021-01-10,30
石家庄肺炎疫情实时动态,"【石家庄已集中隔离1万多人】1月9日,河北省新冠肺炎疫情防控工作...",https://www.fx168.com/fx168_t/2101/4559783.shtml,FX168财经网,2021-01-10,15
石家庄肺炎疫情实时动态,滚动|河北南宫今日起开展第二轮全员核酸采样检测,http://news.voc.com.cn/article/202101/202101100904423895.html,华声新闻,2021-01-10,35
石家庄肺炎疫情实时动态,定州最新防控通知|定州市|疫情防控|邢台|石家庄|新冠肺炎|核酸检测,https://xw.qq.com/cmsid/20210110A01P8D00?ADTAG=baidutw,腾讯网,2021-01-10,15
石家庄肺炎疫情实时动态,"...石家庄44例,邢台2例);新增13例本地无症状感染者,均为石家庄市...",http://www.fx168.com/fx168_t/2101/4559756.shtml,FX168财经网,2021-01-10,15
石家庄肺炎疫情实时动态,检出阳性354人!石家庄本轮疫情还不能确定出现拐点,http://dy.163.com/article/FVVFCI680514Q3T9.html,网易新闻,2021-01-10,15
石家庄肺炎疫情实时动态,...下“暂停键”|河北|核酸检测|石家庄|无症状感染者|疫情|新冠肺炎,http://new.qq.com/omn/ENT20190/20210110A018AL00.html,腾讯网,2021-01-10,0
石家庄肺炎疫情实时动态,新冠肺炎:石家庄核酸检测千万人 揪354阳性 全市停摆 拐点未到,https://baijiahao.baidu.com/s?id=1688451137815317601&amp;wfr=spider&amp;for=pc,脱影快文,2021-01-10,0
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
石家庄肺炎疫情实时动态,...记者从9日举行的河北省新冠肺炎疫情防控工作新闻发布会上获悉...,https://www.otcbeta.com/kx/976637d3351ee2220d8b2a1620d800d4.html,市商网,2021-01-10,15
石家庄肺炎疫情实时动态,"最新!石家庄累计检出阳性人员354人;被病毒“攻陷”的小果庄村,是...",https://new.qq.com/omn/20210109/20210109A0BEHF00.html,腾讯网,2021-1-9,15
石家庄肺炎疫情实时动态,河北省召开第二场新冠肺炎疫情防控工作新闻发布会:石家庄完成全员...,https://baijiahao.baidu.com/s?id=1688423112808154589&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,0
石家庄肺炎疫情实时动态,(社会)河北省召开新冠肺炎疫情防控工作新闻发布会,https://xw.qq.com/amphtml/20210109A0DLCA00,腾讯网,2021-1-9,0
石家庄肺炎疫情实时动态,我县组织收听收看河北省应对新冠肺炎疫情调度会议,http://www.sjz.gov.cn/col/1490233024346/2021/01/10/1610242568418.html,石家庄市人民政府,2021-1-9,35
石家庄肺炎疫情实时动态,寻人!石家庄行唐县发布新型冠状病毒感染的肺炎疫情排查公告,https://new.qq.com/omn/20210109/20210109A0DGG000.html,腾讯网,2021-1-9,15
石家庄肺炎疫情实时动态,为什么石家庄全体居家7天?拐点何时出现?关注河北第二场疫情发布会,http://new.qq.com/omn/ENT20190/20210109A0CHIS00.html,腾讯网,2021-1-9,15
石家庄肺炎疫情实时动态,石家庄累计检出阳性人员354人 其中87%在藁城区,https://new.qq.com/omn/20210109/20210109A08WH400.html,腾讯网,2021-1-9,15
石家庄肺炎疫情实时动态,赤峰进入战时状态|赤峰市委|新冠肺炎|疫情防控|赤峰|邢台|石家庄,http://new.qq.com/omn/ENT20190/20210108A0EXGQ00.html,腾讯网,2021-1-9,10
石家庄肺炎疫情实时动态,石家庄:疫情尚未出现拐点 全员核酸检测后继续居家7天,http://new.qq.com/omn/ENT20190/20210109A0BBYD00.html,腾讯网,2021-1-9,10
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
石家庄肺炎疫情实时动态,石家庄市裕华区红十字会应对新型冠状病毒感染的肺炎疫情面向社会...,http://www.thepaper.cn/newsDetail_forward_10725753,澎湃新闻,2021-1-9,15
石家庄肺炎疫情实时动态,为什么最近河北新冠肺炎疫情突然有点严重了?,https://baijiahao.baidu.com/s?id=1688402642134092616&amp;wfr=spider&amp;for=pc,起航剪辑,2021-1-9,15
石家庄肺炎疫情实时动态,石家庄市1月9日新冠肺炎疫情防控工作新闻发布会,http://www.thepaper.cn/newsDetail_forward_10721525,澎湃新闻,2021-1-9,35
石家庄肺炎疫情实时动态,河北疫情防控进展如何?石家庄为何实行7天居家防控?回应来了!,http://dy.163.com/article/FVTQRNDD05346RC7.html,网易新闻,2021-1-9,20
石家庄肺炎疫情实时动态,河北省新冠肺炎疫情防控第2场新闻发布会图文实录,https://baijiahao.baidu.com/s?id=1688397592719896279&amp;wfr=spider&amp;for=pc,石家庄日报客户端,2021-1-9,15
石家庄肺炎疫情实时动态,追踪排查:河北石家庄、邢台两地6万多人进入内蒙古,https://xw.qq.com/cmsid/20210109A0BFNS00,腾讯网,2021-1-9,15
石家庄肺炎疫情实时动态,...集中隔离1万多人!|藁城区|行唐县|新冠肺炎|石家庄|疫情防控,http://new.qq.com/omn/ENT20190/20210109A08GDL00.html,腾讯网,2021-1-9,35
石家庄肺炎疫情实时动态,聊城三地发布新冠肺炎疫情防控通告,http://www.thepaper.cn/newsDetail_forward_10725813,澎湃新闻,2021-1-9,15
石家庄肺炎疫情实时动态,每经16点 | 河北新增2例新冠肺炎确诊病例;石家庄:本轮疫情还不能...,https://finance.ifeng.com/c/82tT593ysCS,手机凤凰网,2021-1-9,35
石家庄肺炎疫情实时动态,"河北最新通报!石家庄累计检出阳性人员354人,疫情还不能确定出现拐点",https://new.qq.com/omn/20210109/20210109A07FL200.html,腾讯网,2021-1-9,15
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
河北肺炎疫情实时动态,河北省1月10日新冠肺炎疫情防控工作新闻发布会,http://www.thepaper.cn/newsDetail_forward_10724256,澎湃新闻,2021-01-10,15
河北肺炎疫情实时动态,为什么最近河北新冠肺炎疫情突然有点严重了?,https://baijiahao.baidu.com/s?id=1688477757224240642&amp;wfr=spider&amp;for=pc,未来说社会,2021-01-10,15
河北肺炎疫情实时动态,【1月10日】疫情动态:绥化市新增新冠肺炎无症状感染者2例,http://dy.163.com/article/FVVRGJSL0534MT1S.html,网易新闻,2021-01-10,35
河北肺炎疫情实时动态,2021年1月9日河北省新型冠状病毒肺炎疫情情况,http://www.qdqss.cn/html/2021/0110/40787.html,青岛全搜索,2021-01-10,15
河北肺炎疫情实时动态,河北省召开新冠肺炎疫情防控工作新闻发布会,http://www.he.xinhuanet.com/xinwen/2021-01/10/c_1126964950.htm,新华网河北频道,2021-01-10,20
河北肺炎疫情实时动态,河北省召开第二场新冠肺炎疫情防控工作新闻发布会:石家庄完成全员...,https://baijiahao.baidu.com/s?id=1688423112808154589&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,10
河北肺炎疫情实时动态,[河北新闻联播]河北省新冠肺炎疫情防控工作新闻发布会 1月9日0时...,http://news.cctv.com/2021/01/09/VIDEPPnlY1iEmhzhgRNhgnAj210109.shtml,央视网,2021-1-9,10
河北肺炎疫情实时动态,我县组织收听收看河北省应对新冠肺炎疫情调度会议,http://www.thepaper.cn/newsDetail_forward_10729209,澎湃新闻,2021-1-9,10
河北肺炎疫情实时动态,「通报」2021年1月8日河北省新型冠状病毒肺炎疫情情况,https://baijiahao.baidu.com/s?id=1688399761502508173&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,15
河北肺炎疫情实时动态,"新冠肺炎疫情防控常态化个人防护(七)-节约食物,减少聚集",http://dy.163.com/article/FVTPTGCL0514IJUD.html,网易新闻,2021-1-9,15
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
河北肺炎疫情实时动态,河北省1月10日新冠肺炎疫情防控工作新闻发布会,http://www.thepaper.cn/newsDetail_forward_10724256,澎湃新闻,2021-01-10,15
河北肺炎疫情实时动态,为什么最近河北新冠肺炎疫情突然有点严重了?,https://baijiahao.baidu.com/s?id=1688477757224240642&amp;wfr=spider&amp;for=pc,未来说社会,2021-01-10,15
河北肺炎疫情实时动态,【1月10日】疫情动态:绥化市新增新冠肺炎无症状感染者2例,http://dy.163.com/article/FVVRGJSL0534MT1S.html,网易新闻,2021-01-10,35
河北肺炎疫情实时动态,2021年1月9日河北省新型冠状病毒肺炎疫情情况,http://www.qdqss.cn/html/2021/0110/40787.html,青岛全搜索,2021-01-10,15
河北肺炎疫情实时动态,河北省召开新冠肺炎疫情防控工作新闻发布会,http://www.he.xinhuanet.com/xinwen/2021-01/10/c_1126964950.htm,新华网河北频道,2021-01-10,20
河北肺炎疫情实时动态,河北省召开第二场新冠肺炎疫情防控工作新闻发布会:石家庄完成全员...,https://baijiahao.baidu.com/s?id=1688423112808154589&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,10
河北肺炎疫情实时动态,[河北新闻联播]河北省新冠肺炎疫情防控工作新闻发布会 1月9日0时...,http://news.cctv.com/2021/01/09/VIDEPPnlY1iEmhzhgRNhgnAj210109.shtml,央视网,2021-1-9,10
河北肺炎疫情实时动态,我县组织收听收看河北省应对新冠肺炎疫情调度会议,http://www.thepaper.cn/newsDetail_forward_10729209,澎湃新闻,2021-1-9,10
河北肺炎疫情实时动态,「通报」2021年1月8日河北省新型冠状病毒肺炎疫情情况,https://baijiahao.baidu.com/s?id=1688399761502508173&amp;wfr=spider&amp;for=pc,潇湘晨报,2021-1-9,15
河北肺炎疫情实时动态,"新冠肺炎疫情防控常态化个人防护(七)-节约食物,减少聚集",http://dy.163.com/article/FVTPTGCL0514IJUD.html,网易新闻,2021-1-9,15
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
河北肺炎疫情实时动态,【工作动态】崂山区市场监督管理局新冠肺炎疫情防控调度会召开,http://new.qq.com/omn/ENT20190/20210109A0BK4U00.html,腾讯网,2021-1-9,15
河北肺炎疫情实时动态,1月8日河北省新冠肺炎疫情防控工作新闻发布会文字实录,https://new.qq.com/omn/20210109/20210109A0578A00.html,腾讯网,2021-1-9,15
河北肺炎疫情实时动态,河北省人民检察院关于新冠肺炎疫情防控期间以来信、网络和电话...,http://www.thepaper.cn/newsDetail_forward_10720726,澎湃新闻,2021-1-9,15
河北肺炎疫情实时动态,最新消息:河北新冠肺炎疫情源头尚未查实,https://baijiahao.baidu.com/s?id=1688302504000389121&amp;wfr=spider&amp;for=pc,大国纪实,2021-1-8,15
河北肺炎疫情实时动态,【美国最新疫情动态:美国累计确诊病例突破2211万例、死亡人数超37...,https://www.fx168.com/fx168_t/2101/4555544.shtml,FX168财经网,2021-1-8,15
河北肺炎疫情实时动态,大同市疫情防控工作的紧急通知!,https://baijiahao.baidu.com/s?id=1688223164696093764&amp;wfr=spider&amp;for=pc,气象小秘书,2021-1-7,15
河北肺炎疫情实时动态,河北武邑县开展新冠肺炎疫情核酸检测实操演练,https://baijiahao.baidu.com/s?id=1688210522975065633&amp;wfr=spider&amp;for=pc,河北新闻网,2021-1-7,15
河北肺炎疫情实时动态,"王东峰在河北省应对新冠肺炎疫情工作领导小组扩大会议上强调,科学...",https://baijiahao.baidu.com/s?id=1688183905812745076&amp;wfr=spider&amp;for=pc,环球网,2021-1-7,15
河北肺炎疫情实时动态,防控措施有变化!这些人必须到社区登记,https://baijiahao.baidu.com/s?id=1688107811908972996&amp;wfr=spider&amp;for=pc,法制云播报,2021-1-6,25
河北肺炎疫情实时动态,"【河北疫情最新消息】2021年1月5日0—24时,河北省新增20例本地...",https://www.fx168.com/fx168_t/2101/4550585.shtml,FX168财经网,2021-1-6,20
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
河北肺炎疫情实时动态,CAIVD:2020年度中国体外诊断大事记,https://baijiahao.baidu.com/s?id=1687936510210975293&amp;wfr=spider&amp;for=pc,CACLP,2021-1-4,40
河北肺炎疫情实时动态,实时更新:新冠肺炎疫情最新动态,https://news.qq.com/hdh5/feiyanarea.htm?qimei=860299043556478&amp;devid=230533bc05dc4269&amp;uid=100219574792#/area/?pool=&amp;channelId=news_news_gdsg,腾讯网,2021-1-4,30
河北肺炎疫情实时动态,"河北:周密部署、多措并举,确保民生商品价格稳定确保民生商品价格...",https://baijiahao.baidu.com/s?id=1687529531824418894&amp;wfr=spider&amp;for=pc,中国发展网,2020-12-31,15
河北肺炎疫情实时动态,12月29日河北省新冠肺炎疫情情况,https://baijiahao.baidu.com/s?id=1687473052163282867&amp;wfr=spider&amp;for=pc,潇湘名医,2020-12-30,15
河北肺炎疫情实时动态,全球新型肺炎疫情实时动态 今日全球新型肺炎疫情实时通报,https://new.qq.com/omn/20201230/20201230A02AE800.html,腾讯网,2020-12-30,30
河北肺炎疫情实时动态,最新通报!12月28日河北新冠肺炎疫情情况,https://baijiahao.baidu.com/s?id=1687386355720453091&amp;wfr=spider&amp;for=pc,潇湘晨报,2020-12-29,30
河北肺炎疫情实时动态,元旦春节能离京吗?会不会被隔离?最新进出京要求都在这,https://baijiahao.baidu.com/s?id=1687325703761297139&amp;wfr=spider&amp;for=pc,新京报官微,2020-12-28,25
河北肺炎疫情实时动态,"突发!深圳新增1例,近期2次到北京出差!北京进入应急状态……",https://baijiahao.baidu.com/s?id=1687246980045234573&amp;wfr=spider&amp;for=pc,新浪财经,2020-12-27,10
河北肺炎疫情实时动态,"最新!顺义两地升为中风险地区,北京明年春节难有庙会,外地旅行团也...",https://baijiahao.baidu.com/s?id=1687225240408868930&amp;wfr=spider&amp;for=pc,每日经济新闻,2020-12-27,15
河北肺炎疫情实时动态,踏石留印 · 2020|特刊,https://baijiahao.baidu.com/s?id=1687202122800567693&amp;wfr=spider&amp;for=pc,新浪财经,2020-12-27,15
新冠病毒肺炎,标题,网址,来源,日期,对新闻标题和内容评分
河北肺炎疫情实时动态,河北省应对新冠肺炎疫情工作领导小组会议召开,https://baijiahao.baidu.com/s?id=1686683434542512744&amp;wfr=spider&amp;for=pc,河北新闻网,2020-12-21,30
